id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26877,WMKN,medium_airport,Sultan Mahmud Airport,5.382639885,103.1029968,21,AS,Malaysia,MY,Terengganu,MY-11,11,Kuala Terengganu,1,WMKN,TGG,,,https://en.wikipedia.org/wiki/Sultan_Mahmud_Airport,,750,2008-08-17T17:08:57+00:00
26817,WBKW,medium_airport,Tawau Airport,4.31338,118.12152,57,AS,Malaysia,MY,Sabah,MY-12,12,Tawau,1,WBKW,TWU,,,https://en.wikipedia.org/wiki/Tawau_Airport,,750,2023-12-24T07:09:52+00:00
26876,WMKM,medium_airport,Malacca International Airport,2.265613,102.252778,35,AS,Malaysia,MY,Melaka,MY-04,4,Malacca,0,WMKM,MKZ,,,https://en.wikipedia.org/wiki/Malacca_International_Airport,Batu Berendam,250,2022-06-26T04:16:31+00:00
35209,WMPA,small_airport,Pulau Pangkor Airport,4.244719982,100.5530014,19,AS,Malaysia,MY,Perak,MY-08,8,Pangkor Island,1,WMPA,PKG,,,https://en.wikipedia.org/wiki/Pangkor_Airport,,150,2008-08-17T17:08:59+00:00
26807,WBGB,medium_airport,Bintulu Airport,3.123850107,113.0199966,74,AS,Malaysia,MY,Sarawak,MY-13,13,Bintulu,1,WBGB,BTU,,,https://en.wikipedia.org/wiki/Bintulu_Airport,,750,2011-10-23T15:16:29+00:00
26872,WMKI,medium_airport,Sultan Azlan Shah Airport,4.567969799,101.0920029,130,AS,Malaysia,MY,Perak,MY-08,8,Ipoh,1,WMKI,IPH,,,https://en.wikipedia.org/wiki/Sultan_Azlan_Shah_Airport,,750,2008-08-17T17:08:57+00:00
26809,WBGJ,medium_airport,Limbang Airport,4.808300018,115.0100021,14,AS,Malaysia,MY,Sarawak,MY-13,13,Limbang,1,WBGJ,LMN,,,https://en.wikipedia.org/wiki/Limbang_Airport,,750,2008-08-17T17:08:57+00:00
26864,WMBT,medium_airport,Tioman Airport,2.81818,104.160004,15,AS,Malaysia,MY,Pahang,MY-06,6,Tioman Island,1,WMBT,TOD,,,https://en.wikipedia.org/wiki/Tioman_Airport,"Kampung Tekek, Sultan Ahmad Shah",750,2023-02-25T23:57:42+00:00
31866,WBGW,small_airport,Lawas Airport,4.84917,115.407997,5,AS,Malaysia,MY,Sarawak,MY-13,13,Lawas,1,WBGW,LWY,,,https://en.wikipedia.org/wiki/Lawas_Airport,,150,2018-05-09T06:07:03+00:00
26871,WMKF,small_airport,Simpang Airport,3.11225009,101.7030029,111,AS,Malaysia,MY,Kuala Lumpur (Federal Territory),MY-14,14,Kuala Lumpur,0,WMKF,,,,https://en.wikipedia.org/wiki/Sungai_Besi_Airport,,50,2008-08-17T17:08:57+00:00
